EdgeNum	OrgID	targetID	Obs_In	slope	r_sq	adj_r_sq	p_val	fdr_p_value	sumtomax	stm_rsqadj	Sub_Support
11	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;Other;Other"	FITS2taxa_FITS2taxa	0.814160098	0.640364006	0.633447929	3.86E-13	1.07E-10	8.096924511	5.128980062	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"
12	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;Other;Other"	"k__Fungi;Other;Other;Other;Other;Other"	FITS2taxa_FITS2taxa	-0.399659209	-0.40752756	-0.396133859	2.07E-07	5.70E-05	13.03448824	5.163402124	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;Other;Other"
13	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium"	Otradtaxa_Otradtaxa	0.230771338	0.161496378	0.148596322	0.000749447	0.012740603	23.59098435	3.505533503	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora"
14	"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;Other"	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	Ftradtaxa_Ftradtaxa	0.57543584	0.641028463	0.6355895	2.52E-16	1.10E-13	6.522398457	4.145567977	"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;Other"
15	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora"	Ftradtaxa_Otradtaxa	0.455403628	0.147413873	0.134297164	0.001339057	0.586506986	22.59508333	3.034455601	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
16	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Fungi;p__Ascomycota;Other;Other;Other;Other"	Ftradtaxa_Ftradtaxa	1.021157932	0.58533085	0.579047984	3.07E-14	1.34E-11	9.798659831	5.673894218	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
17	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Fungi;Other;Other;Other;Other;Other"	Ftradtaxa_FITS2taxa	0.53119763	0.335159371	0.322373974	4.52E-06	0.001979759	12.75949518	4.113329167	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
18	"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae sedis;g__Emericellopsis"	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	Ftradtaxa_Ftradtaxa	0.803759073	0.575441843	0.569009144	6.73E-14	2.95E-11	5.942565549	3.381374135	"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae sedis;g__Emericellopsis"
19	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Epicoccum"	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	Ftradtaxa_Ftradtaxa	0.396753134	0.538444898	0.531451639	1.09E-12	4.79E-10	7.248204908	3.852070379	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Epicoccum"
20	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"	Ftradtaxa_Ftradtaxa	0.83668461	0.719431005	0.715179959	7.00E-20	3.06E-17	9.456979916	6.763442512	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
21	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Protomycetaceae;g__Protomyces"	Ftradtaxa_Ftradtaxa	-0.698653138	-0.450156866	-0.441825909	3.84E-10	1.68E-07	8.696071762	3.842149815	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
22	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis"	Ftradtaxa_Ftradtaxa	1.837524148	0.450654092	0.442330669	3.72E-10	1.63E-07	10.66238532	4.716300031	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
23	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Incertae sedis;g__Microdochium"	Ftradtaxa_Ftradtaxa	1.36335947	0.638203654	0.632721891	3.26E-16	1.43E-13	5.090455497	3.22084263	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
24	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	Ftradtaxa_Ftradtaxa	0.825917567	0.657013324	0.651816556	5.53E-17	2.42E-14	6.161701561	4.016299092	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"
25	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium"	Ftradtaxa_Ftradtaxa	1.390567793	0.568178845	0.5616361	1.18E-13	5.19E-11	7.195718654	4.041375364	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
26	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae sedis;g__Dioszegia"	Ftradtaxa_Ftradtaxa	-0.948095128	-0.357141744	-0.347401468	7.43E-08	3.25E-05	14.31968296	4.974678879	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
27	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	Ftradtaxa_Ftradtaxa	1.29749711	0.553721317	0.546959519	3.56E-13	1.56E-10	5.589658048	3.057316678	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
28	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"	Ftradtaxa_Ftradtaxa	0.735190062	0.502368747	0.49482888	1.35E-11	5.93E-09	8.540349312	4.226011485	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"
29	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;Other;Other"	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"	Ftradtaxa_Ftradtaxa	0.377094378	0.433135228	0.424546368	1.07E-09	4.68E-07	8.47098449	3.5963257	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;Other;Other"
30	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"	"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae sedis;g__Dioszegia"	Ftradtaxa_Ftradtaxa	-0.93047919	-0.31110564	-0.300667847	7.76E-07	0.000339946	13.40305236	4.029866891	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"
31	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"	"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium"	Ftradtaxa_Ftradtaxa	1.526129482	0.618929609	0.613155816	1.84E-15	8.04E-13	6.27908805	3.850059355	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"
32	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis"	Ftradtaxa_Ftradtaxa	1.922040018	0.445922955	0.437527848	4.97E-10	2.18E-07	9.745754717	4.264039086	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"
33	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"	"k__Fungi;p__Ascomycota;Other;Other;Other;Other"	Ftradtaxa_Ftradtaxa	1.101153773	0.615558446	0.609733574	2.46E-15	1.08E-12	8.882029227	5.415671422	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"
34	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora"	Ftradtaxa_Otradtaxa	0.487833014	0.152285308	0.139243543	0.00109621	0.480139849	21.69885692	3.021425719	"k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella"
35	"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;Other"	"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae sedis;g__Dioszegia"	BV5taxa_Ftradtaxa	-0.339377972	-0.240770761	-0.229267288	2.16E-05	0.010890758	13.92604764	3.192787177	"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;Other"
36	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"	"k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Protomycetaceae;g__Protomyces"	Ftradtaxa_Ftradtaxa	-0.410790188	-0.2510856	-0.239738413	1.35E-05	0.005901925	14.33980639	3.437802421	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"
37	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae sedis;g__Cadophora"	Ftradtaxa_Ftradtaxa	0.58170555	0.284975844	0.274142145	2.76E-06	0.001208875	14.49548165	3.973822433	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"
38	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;g__Phoma"	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"	Ftradtaxa_Ftradtaxa	0.675069592	0.416899802	0.408064951	2.76E-09	1.21E-06	15.38174404	6.276750623	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;g__Phoma"
39	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium"	Ftradtaxa_Otradtaxa	0.287363875	0.324584322	0.314193311	4.86E-07	0.000212856	13.34696553	4.193527299	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"
40	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Epicoccum"	Ftradtaxa_Ftradtaxa	0.704548608	0.262894524	0.251726259	7.81E-06	0.003421283	12.61326281	3.175089461	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"
41	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"	FITS2taxa_FITS2taxa	0.422688645	0.342068759	0.329416235	3.41E-06	0.000942041	10.76998129	3.547806692	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"
42	"k__Fungi;p__Ascomycota;Other;Other;Other;Other"	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"	Ftradtaxa_Ftradtaxa	0.517985062	0.274715307	0.263726145	4.49E-06	0.001967101	14.65653743	3.865312116	"k__Fungi;p__Ascomycota;Other;Other;Other;Other"
43	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"	"k__Fungi;Other;Other;Other;Other;Other"	FITS2taxa_FITS2taxa	-0.500308545	-0.333614542	-0.320799437	4.81E-06	0.00132789	14.83988253	4.760625964	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"
44	"k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;Other;Other;Other"	"k__Fungi;p__Ascomycota;Other;Other;Other;Other"	Ftradtaxa_Ftradtaxa	-0.961703707	-0.368713804	-0.359148861	4.02E-08	1.76E-05	8.861031791	3.182429479	"k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;Other;Other;Other"
45	"k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;Other;Other;Other"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora"	Ftradtaxa_Otradtaxa	-0.726578171	-0.265970064	-0.254677296	7.96E-06	0.003484876	21.68456553	5.522566509	"k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;Other;Other;Other"
46	"k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;Other;Other;Other"	"k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	Ftradtaxa_Ftradtaxa	-0.810410562	-0.496757485	-0.489132599	1.97E-11	8.64E-09	6.140704125	3.003618566	"k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;Other;Other;Other"
47	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"	"k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;Other;Other;Other"	Ftradtaxa_Ftradtaxa	-0.605155862	-0.464923309	-0.456816086	1.54E-10	6.74E-08	8.066581388	3.68494414	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"
48	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;Other"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora"	Ftradtaxa_Otradtaxa	0.45120946	0.214722208	0.202641011	7.85E-05	0.03438998	21.08245707	4.272170416	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;Other"
49	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;Other"	"k__Fungi;p__Ascomycota;Other;Other;Other;Other"	Ftradtaxa_Ftradtaxa	0.827346269	0.571851606	0.565364509	8.91E-14	3.90E-11	8.259506833	4.669632027	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;Other"
50	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;Other"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Albuginales;f__Albuginaceae;g__Albugo"	Ftradtaxa_Otradtaxa	-0.341324893	-0.300400489	-0.289637419	1.58E-06	0.000691908	12.01127879	3.478915791	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;Other"
51	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;Other"	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"	Ftradtaxa_Ftradtaxa	0.505806679	0.391316216	0.382093734	1.17E-08	5.14E-06	7.917826918	3.025352056	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;Other"
52	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;Other;Other"	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis"	Ftradtaxa_Ftradtaxa	1.096092853	0.52021994	0.512950545	3.99E-12	1.75E-09	8.719642857	4.472745556	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;Other;Other"
53	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;Other;Other"	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"	Ftradtaxa_Ftradtaxa	0.396455457	0.524046088	0.516834665	3.05E-12	1.34E-09	7.514237452	3.883618394	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;Other;Other"
54	"k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis"	Ftradtaxa_Ftradtaxa	0.839950963	0.380247079	0.370856884	2.16E-08	9.45E-06	9.244444444	3.428365857	"k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
55	"k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora"	Ftradtaxa_Otradtaxa	0.246976207	0.174089755	0.161383444	0.000443651	0.194318971	21.18767593	3.419340104	"k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
56	"k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Fungi;p__Ascomycota;Other;Other;Other;Other"	Ftradtaxa_Ftradtaxa	0.459230614	0.478033201	0.470124613	6.70E-11	2.94E-08	8.380718954	3.939982253	"k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
57	"k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified"	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"	Ftradtaxa_Ftradtaxa	0.304632245	0.385121836	0.3758055	1.65E-08	7.24E-06	8.039039039	3.021115087	"k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified"
58	"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Incertae sedis;g__Microdochium"	"k__Fungi;p__Ascomycota;Other;Other;Other;Other"	Ftradtaxa_Ftradtaxa	0.494754344	0.426399563	0.417708647	1.59E-09	6.97E-07	8.253582202	3.447592655	"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Incertae sedis;g__Microdochium"
59	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"	"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Incertae sedis;g__Microdochium"	Ftradtaxa_Ftradtaxa	1.252058959	0.517807655	0.510501711	4.72E-12	2.07E-09	7.582787157	3.871025815	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium"
60	"k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__unidentified;f__unidentified;g__unidentified"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora"	Ftradtaxa_Otradtaxa	-0.248791383	-0.203788195	-0.191538783	0.000125945	0.055164094	22.21175	4.254411562	"k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__unidentified;f__unidentified;g__unidentified"
61	"k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Pseudozyma"	"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae sedis;g__Dioszegia"	Ftradtaxa_Ftradtaxa	-0.53933885	-0.266745353	-0.255635434	6.53E-06	0.002859293	11.92646064	3.04882594	"k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Pseudozyma"
62	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"	"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae sedis;Other"	Ftradtaxa_Ftradtaxa	0.698864639	0.456551324	0.448317253	2.59E-10	1.14E-07	10.58465398	4.745282997	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae sedis;g__Sporobolomyces"
63	"k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Kondoaceae;g__Kondoa"	"k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Agaricostilbaceae;g__Bensingtonia"	Ftradtaxa_Ftradtaxa	0.574656547	0.414656957	0.405788123	3.15E-09	1.38E-06	12.8344086	5.208050572	"k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Kondoaceae;g__Kondoa"
