"Species_9773"	"Species_1387"	"Species_7126"	"Species_4564"	"Species_5461"	"Species_5463"	"Species_5432"	"Species_2706"	"Species_11775"	"Species_6077"	"Species_7566"	"Species_11524"	"Species_9824"	"Species_2990"	"Species_2091"	"Species_12953"	"Species_8080"	"Species_2510"	"Species_12654"	"Species_9147"	"Species_3002"	"Species_10060"	"Species_5419"	"Species_2853"	"Species_5115"	"Species_564"	"Species_5452"	"Species_10932"	"Species_7862"	"Species_11643"	"Species_6940"	"Species_5446"	"Species_2954"	"Species_16033"	"Species_8584"	"Species_5459"	"Species_2855"	"Species_5918"	"Species_1889"	"Species_9918"	"Species_16857"	"Species_1501"	"Species_7375"	"Species_12090"	"Species_3058"	"Species_7161"	"Species_8208"	"Species_11569"	"Species_3569"	"Species_5271"	"Species_3303"	"Species_9831"	"Species_9967"	"Species_10667"	"Species_6166"	"Species_13709"	"Species_7239"	"Replicate"
"B.BacV5.1"	0	0	0	0	1	7	1	0	0	34	0	0	0	0	0	0	0	8	1104	48	4	1	0	5	6	39	0	1	0	1	2	0	0	0	0	3	0	0	0	0	484	11	0	3	0	6	9	21	0	170	0	0	3424	10	2	0	193	"10_S3"
"G.BacV5.18"	124	6	128	31	3	117	10	7	5	124	20	10	71	26	11	12	11	7	128	226	12	5	8	542	5	73	5	7	11	16	89	28	5	19	13	39	13	16	15	41	106	20	12	7	2	31	40	233	3	80	17	38	641	51	196	6	826	"F_8"
"G.BacV5.19"	161	0	174	45	1	30	14	7	3	98	21	2	52	6	9	6	16	7	164	153	5	9	4	791	2	80	39	4	3	9	23	31	10	11	5	58	22	15	21	66	166	30	8	6	9	53	0	19	2	96	16	11	696	34	695	4	1164	"F_9"
"C.BacV5.20"	105	0	1	16	2	0	1	0	10	2	236	0	0	22	0	0	1	5	112	0	0	0	0	32	7	89	6	0	0	0	0	0	0	0	0	0	0	0	0	3	547	19	17	0	0	10	0	4	0	23	1	8	863	5	30	0	391	"S_S2"
"C.BacV5.19"	141	0	1	87	8	8	11	1	10	8	130	0	0	4	5	0	0	2	92	47	1	0	0	6	1	41	19	0	1	0	0	6	0	0	0	0	0	0	3	0	78	3	12	3	0	16	3	10	1	120	18	29	659	311	125	2	200	"S_S1"
"B.BacV5.20"	0	0	1	0	0	0	2	0	0	15	1	0	0	0	0	0	0	1	109	11	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	511	0	0	0	0	10	43	26	0	116	0	0	3277	2	0	0	33	"10_S8"
"B.BacV5.3"	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	1	0	0	35	38	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	609	1	0	1	1	12	4	12	0	145	0	0	4730	1	0	0	4	"10_S1"
"B.BacV5.19"	0	0	0	0	0	1	1	0	0	24	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	570	0	0	0	0	10	4	2	0	6	0	0	977	1	0	0	0	"10_S7"
"B.BacV5.18"	2	0	0	0	4	1	2	0	0	71	0	0	1	0	0	0	0	1	70	54	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	773	3	0	0	1	6	12	103	1	328	0	0	3639	18	0	0	20	"10_S6"
"D.BacV5.19"	5	0	6	1	0	2	1	1	2	18	0	2	7	3	1	0	1	17	119	80	5	3	1	358	5	58	0	0	0	0	3	0	0	0	0	5	0	0	0	4	318	10	1	4	1	0	1	6	1	41	1	0	1330	1	4	0	3251	"S_S8"
"D.BacV5.18"	0	0	0	0	1	1	0	0	0	5	3	0	1	0	0	0	0	0	44	2	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	1	4230	1	1	0	0	3	4	23	0	0	0	0	190	0	1	0	390	"S_S4"
"E.BacV5.11"	0	0	4	4	0	0	0	0	0	12	0	0	0	0	0	0	0	0	18	76	1	0	0	7	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2074	1	0	1	0	0	1	1	2	67	0	0	1969	1	2	0	4	"10_S9"
"E.BacV5.15"	0	2	0	15	1	0	1	1	0	17	0	0	2	0	2	0	1	0	31	399	6	0	0	4	1	1	0	0	0	0	6	0	0	0	1	0	1	0	1	0	1534	1	0	1	1	0	20	40	1	31	1	0	2690	11	3	0	9	"S_S18"
"G.BacV5.17"	35	11	39	3	10	205	16	7	2	58	14	5	30	4	16	3	5	5	127	172	12	4	6	1037	9	94	15	4	1	10	41	31	12	17	11	78	25	21	12	61	49	45	15	1	3	13	24	260	2	68	11	6	516	28	24	12	1277	"F_7"
"F.BacV5.20"	2	1	1	0	0	33	4	0	0	24	0	0	0	0	0	0	0	0	11	21	7	0	0	19	0	2	0	0	0	0	3	0	2	0	2	1	0	0	0	0	842	0	0	3	0	0	7	2	1	90	0	0	1374	4	8	0	12	"5_S8"
"E.BacV5.13"	17	0	2	25	0	4	1	0	0	9	1	1	0	0	1	0	0	2	18	494	7	1	0	8	2	30	0	0	0	0	6	0	1	0	0	0	0	0	6	1	107	4	1	1	0	0	9	4	1	39	0	0	3074	0	3	0	19	"S_S14"
"E.BacV5.14"	4	0	0	40	0	0	1	0	0	4	0	0	18	0	0	0	1	17	199	246	1	4	2	71	3	166	0	0	0	1	2	0	0	0	0	5	0	0	0	0	237	8	0	1	3	0	0	2	0	16	0	0	983	1	2	0	197	"S_S15"
"G.BacV5.20"	472	115	31	6	17	77	14	12	1	80	10	2	21	37	27	7	5	1	32	443	56	1	1	82	1	21	11	2	0	20	64	50	7	13	28	19	10	2	7	2	30	7	1	1	1	14	104	183	7	94	6	5	521	43	115	3	400	"F_10"
"F.BacV5.16"	2	0	0	0	0	95	28	2	0	24	2	0	0	0	0	0	1	8	26	1	5	0	1	33	2	44	0	0	0	0	0	2	1	0	1	28	2	0	1	0	280	8	2	0	0	0	3	17	0	175	0	0	1101	1	36	2	2350	"5_S1"
"F.BacV5.18"	6	0	0	0	0	61	23	1	0	14	0	0	0	0	0	0	0	0	4	509	33	0	0	1	0	2	0	0	0	0	4	0	0	0	0	3	1	0	1	0	226	0	0	0	0	0	16	13	0	103	0	0	2032	3	9	0	26	"5_S4"
"E.BacV5.12"	16	2	4	148	2	13	3	1	0	11	0	2	7	0	1	0	1	4	213	386	2	3	0	14	2	33	0	0	1	0	3	2	0	0	4	1	0	0	0	0	269	2	0	14	6	0	9	124	8	29	2	0	591	1	31	1	42	"S_S12"
"F.BacV5.19"	0	0	2	0	3	54	13	1	0	2	1	0	0	1	0	0	0	0	18	4	1	0	0	53	0	15	2	0	0	0	1	2	1	0	0	2	0	0	1	0	498	0	0	0	0	0	6	21	0	11	0	0	125	0	43	0	35	"5_S7"
"F.BacV5.17"	16	1	0	0	4	482	177	2	1	13	0	0	0	0	0	0	0	0	17	13	2	0	0	10	0	5	0	0	0	0	2	2	0	0	14	9	2	0	0	7	1356	9	0	0	0	0	19	21	0	34	0	0	657	24	1	0	93	"5_S2"
