"Species_16840"	"Species_6423"	"Species_11279"	"Species_15656"	"Species_224"	"Species_890"	"Species_8584"	"Species_2171"	"Species_2706"	"Species_3569"	"Species_10357"	"Species_8758"	"Species_12424"	"Species_16870"	"Species_7178"	"Species_6764"	"Species_10406"	"Species_758"	"Species_1065"	"Species_686"	"Species_888"	"Species_11077"	"Species_9926"	"Species_9940"	"Species_5943"	"Species_11435"	"Species_9968"	"Species_1579"	"Species_4587"	"Species_11524"	"Species_2650"	"Species_12996"	"Species_6746"	"Species_7566"	"Species_3837"	"Species_17261"	"Species_5888"	"Species_16644"	"Species_2990"	"Species_8795"	"Species_15155"	"Species_1609"	"Species_5995"	"Species_4632"	"Species_9967"	"Species_16844"	"Species_6052"	"Species_11072"	"Species_7465"	"Species_10003"	"Species_5460"	"Species_7108"	"Species_2502"	"Species_13142"	"Species_16428"	"Species_1999"	"Species_17222"	"Species_14493"	"Species_4225"	"Species_5087"	"Species_10269"	"Species_9824"	"Species_11120"	"Species_12688"	"Species_10370"	"Species_8200"	"Species_5455"	"Species_11116"	"Species_2954"	"Species_5919"	"Species_11789"	"Species_8753"	"Species_2014"	"Species_5461"	"Species_4801"	"Species_5463"	"Species_7279"	"Species_4141"	"Species_13392"	"Species_17204"	"Species_6003"	"Species_7314"	"Species_1889"	"Species_9773"	"Species_5889"	"Species_3921"	"Species_3058"	"Species_17171"	"Species_5271"	"Species_16177"	"Species_5918"	"Species_3303"	"Species_6077"	"Species_2636"	"Species_8735"	"Species_5452"	"Species_2742"	"Species_3830"	"Species_6940"	"Species_8943"	"Species_10369"	"Species_11643"	"Species_12787"	"Species_1012"	"Species_8208"	"Species_1864"	"Species_3002"	"Species_3773"	"Species_3008"	"Species_1028"	"Species_11569"	"Species_1385"	"Species_5891"	"Species_5446"	"Species_12090"	"Species_8532"	"Species_10009"	"Species_5898"	"Species_8800"	"Species_4835"	"Species_8935"	"Species_9333"	"Species_10932"	"Species_5432"	"Species_5930"	"Species_15894"	"Species_12388"	"Species_1577"	"Species_6432"	"Species_2532"	"Species_1387"	"Species_3009"	"Species_7228"	"Species_10667"	"Species_16152"	"Species_451"	"Species_4854"	"Species_10046"	"Species_15457"	"Species_8522"	"Species_1316"	"Species_11125"	"Species_11885"	"Species_11523"	"Species_7126"	"Species_2510"	"Species_5552"	"Species_8737"	"Species_9147"	"Species_6341"	"Species_2770"	"Species_15925"	"Species_6356"	"Species_4220"	"Species_7001"	"Species_8080"	"Species_15157"	"Species_5451"	"Species_9734"	"Species_4876"	"Species_8688"	"Species_17226"	"Species_390"	"Species_7375"	"Species_524"	"Species_6166"	"Species_2446"	"Species_1617"	"Species_5426"	"Species_1608"	"Species_8804"	"Species_11974"	"Species_2853"	"Species_564"	"Species_1501"	"Species_6995"	"Species_17005"	"Species_2619"	"Species_1591"	"Species_13930"	"Species_8596"	"Species_5879"	"Species_3828"	"Species_10936"	"Species_11324"	"Species_8327"	"Species_9195"	"Species_4221"	"Species_8696"	"Species_1411"	"Species_13131"	"Species_5459"	"Species_13709"	"Species_5453"	"Species_5425"	"Species_5577"	"Species_2533"	"Species_7239"	"Species_14707"	"Species_14656"	"Species_2091"	"Species_8806"	"Species_6066"	"Species_9951"	"Species_9918"	"Species_7161"	"Species_3007"	"Species_2855"	"Species_3067"	"Species_5464"	"Species_1384"	"Species_9831"	"Species_4561"	"Species_14436"	"Species_6045"	"Species_15152"	"Species_8781"	"Species_2833"	"Replicate"
"A.BacV5.6"	0	0	32	0	0	0	2	0	3	0	0	0	0	1	0	0	0	10	0	0	1	4	0	1	11	0	0	0	0	1	4	0	3	47	17	25	0	0	0	169	0	0	1	0	2531	2	1	0	1	0	4	1	2	25	0	0	3	3011	45	0	0	0	0	719	2	0	0	0	0	2	25	19	0	0	0	1	0	0	0	5	14	3	0	1	0	0	2	41	122	4	1	0	8	0	0	0	4	7	2	0	0	1	0	0	4	0	6	14	0	0	14	0	0	1	0	0	0	2	8	11	0	0	0	0	0	0	0	0	0	808	0	0	0	7	0	1	0	0	1	0	0	0	0	0	0	1	0	0	129	0	0	0	0	13	0	1	1	0	172	0	0	362	3	0	6	7	0	0	0	0	161	8	10	10	1	44	86	972	0	0	0	2	9	0	0	0	40	71	9	0	2	5	3	1	0	7	0	71	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10_S1"
"A.BacV5.19"	2	0	0	7	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	2	16	0	0	0	0	0	1	0	9	284	10	66	0	0	0	516	0	0	0	0	2199	5	2	0	5	1	9	1	0	28	1	0	2	2164	25	0	0	0	0	111	3	0	1	0	0	0	11	15	0	0	0	2	0	0	0	5	10	5	1	1	0	0	0	32	63	6	0	4	16	0	0	0	20	5	1	0	0	0	0	0	7	0	1	7	0	0	17	0	0	1	2	1	0	4	10	17	0	0	0	0	0	0	0	0	0	1840	0	0	0	24	0	0	0	0	0	0	0	1	0	0	0	1	1	0	34	0	0	0	0	9	0	0	3	0	157	0	1	350	12	2	12	17	0	0	0	0	171	5	33	33	6	95	43	827	0	0	1	5	5	3	0	0	28	71	22	0	0	6	1	0	0	2	3	342	0	0	0	73	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	"10_S7"
"G.BacV5.10"	7	14	33	20	31	13	91	9	7	23	8	7	0	12	0	0	23	21	348	0	1	24	24	16	21	0	4	12	1	31	2	1	1	8	4	80	14	25	6	13	8	2	22	2	552	298	12	7	187	18	149	129	4	0	13	3	0	77	0	14	0	17	5	21	71	16	45	4	29	5	12	1	4	27	12	356	0	4	2	1	10	49	19	199	37	8	1	0	101	7	29	7	199	10	3	8	39	4	173	3	10	51	21	55	401	6	31	317	4	1	395	2	9	78	6	1	6	24	7	14	65	12	3	17	34	32	11	100	22	41	35	7	2	85	10	5	6	13	10	2	37	3	3	9	59	2	6	8	454	3	110	12	3	0	20	20	45	5	24	3	1	73	45	6	11	159	3	4	6	0	18	18	248	47	11	27	91	585	5	8	0	14	4	5	8	2	2	0	13	6	6	35	4	26	24	36	3	418	11	5	10	4	7	6	16	15	10	20	40	13	11	6	15	17	12	4	7	11	"F_10"
"G.BacV5.5"	5	6	34	35	6	25	19	18	12	26	10	7	2	114	6	1	0	5	5	0	10	19	26	14	2	8	3	13	3	15	11	5	4	19	7	0	12	11	29	4	1	5	6	12	797	103	0	14	136	19	24	6	4	0	10	6	0	5	0	20	10	35	11	22	50	25	39	7	43	4	17	7	3	27	5	278	7	4	7	0	0	49	40	92	74	30	5	1	88	7	30	8	235	14	3	18	18	3	95	4	5	67	14	6	200	2	27	191	9	2	604	14	2	86	5	2	6	15	8	4	11	39	8	30	18	23	4	8	10	23	28	3	27	96	5	7	9	8	5	5	8	5	6	9	104	11	6	75	423	4	88	6	11	0	22	27	2	12	30	5	98	1	158	15	24	789	8	2	10	12	18	8	642	91	36	18	16	300	8	15	0	12	7	46	10	9	1	0	76	5	19	70	9	35	19	62	6	1087	11	6	31	12	13	21	59	98	9	30	9	21	10	29	14	12	33	10	15	32	"F_5"
"F.BacV5.10"	2	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	4	19	0	0	1	1	1	0	3	0	0	1	112	0	0	0	271	0	0	0	0	3011	8	0	2	5	0	1	5	0	4	0	0	8	893	2	0	0	1	0	1374	3	0	1	0	0	1	0	0	0	0	0	12	0	0	0	13	4	9	3	9	8	1	1	23	359	11	0	0	101	0	1	0	5	1	7	1	3	0	0	0	50	2	41	148	0	2	179	1	1	2	1	1	0	0	1	1	0	0	0	20	0	0	0	2	0	693	2	1	0	3	0	0	0	0	0	0	0	1	0	0	3	0	2	0	186	0	0	0	0	1	1	0	1	0	445	0	2	2137	0	1	2	12	0	0	0	0	39	6	2	2	2	21	18	823	0	0	0	1	3	2	2	0	35	16	1	0	0	3	0	106	31	16	7	95	0	1	0	21	0	16	1	0	0	0	1	0	0	0	0	0	0	0	1	0	"5_S8"
"D.BacV5.9"	1	0	7	0	1	6	6	0	2	5	1	0	26	8	9	2	4	0	696	9	6	10	29	14	2	1	12	2	1	29	3	1	4	1	15	5	1	3	16	1	1	1	0	3	2613	34	0	0	55	2	9	2	1	0	2	1	1	21	0	16	2	11	7	689	350	9	12	8	2	5	10	2	4	21	9	36	2	0	3	0	0	91	12	16	94	8	3	7	108	1	1	2	239	1	0	1	5	2	28	1	14	2	9	0	53	2	28	26	2	1	184	0	0	16	5	2	4	6	2	1	0	0	0	23	7	3	1	3	0	50	5	8	20	13	4	2	4	0	0	0	1	2	0	0	14	4	3	4	748	8	12	0	2	0	2	1	1	6	17	7	17	9	111	7	19	166	2	2	3	2	15	2	22	13	14	21	0	545	10	11	59	7	16	22	2	1	1	0	5	2	4	11	0	65	7	8	7	754	2	0	5	2	0	30	2	4	1	1	13	3	0	0	8	1	1	1	6	2	"S_S8"
"E.BacV5.2"	2	0	4	0	0	5	1	2	1	0	0	8	172	2	9	67	13	16	234	13	68	25	32	22	4	0	11	8	5	13	1	7	0	1	0	17	0	1	2	13	0	2	0	0	2892	52	0	1	73	0	18	8	1	0	0	0	0	2	1	4	2	4	2	216	15	4	14	0	0	0	1	0	13	2	1	19	0	9	1	0	0	50	10	106	9	6	5	2	72	2	0	1	70	1	1	15	0	0	20	0	1	0	0	1	25	1	21	49	1	1	168	0	2	8	10	1	0	0	1	4	1	0	0	9	8	7	0	2	0	800	0	0	19	2	4	1	0	5	6	2	0	6	2	0	5	0	1	1	1180	1	2	1	2	3	0	0	0	0	221	0	8	13	206	0	27	38	0	5	0	5	7	12	9	23	5	13	1	1340	0	2	109	3	3	121	0	0	0	1	0	1	0	17	0	7	0	4	1	12	1	1	3	16	1	19	0	0	1	1	0	53	1	0	0	3	1	1	0	0	"S_S12"
"A.BacV5.10"	2	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	3	25	0	0	0	16	1	3	9	0	0	1	0	1	2	0	3	42	12	103	0	0	1	101	0	0	1	0	2780	4	2	1	1	0	8	0	0	18	9	0	2	3242	40	0	0	1	0	775	4	0	1	2	0	0	20	27	0	1	0	1	0	0	0	3	2	1	0	0	0	1	1	45	91	3	0	0	10	0	0	0	5	3	5	0	0	1	0	0	8	0	2	26	0	0	13	0	0	3	0	0	0	3	4	4	0	0	0	0	0	0	0	1	0	1291	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	1	0	0	166	0	0	0	1	9	2	0	0	0	113	0	1	423	11	1	5	7	0	0	1	0	279	9	15	11	6	69	30	894	0	0	0	4	15	0	0	0	49	58	5	0	4	3	2	1	0	3	1	128	0	0	0	75	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	"10_S5"
"E.BacV5.3"	1	0	1	0	6	1	0	0	0	1	8	3	0	0	0	21	0	0	1	41	5	77	33	8	0	3	32	17	2	7	9	2	1	0	0	0	1	0	3	2	0	0	0	0	3957	54	0	0	5	0	1	3	0	0	0	0	0	5	0	0	0	2	0	123	9	0	1	0	0	0	2	0	0	0	0	41	0	0	1	0	0	17	7	102	26	4	0	188	55	11	0	5	49	2	0	1	0	0	11	0	14	2	0	2	43	0	6	44	1	0	83	0	0	1	2	1	3	0	2	5	1	0	0	1	0	0	0	2	0	188	1	0	3	6	0	2	0	0	0	0	0	0	1	1	3	1	3	0	847	1	0	0	3	12	0	0	0	0	294	0	0	0	77	2	61	9	0	9	0	2	6	7	17	21	13	6	0	1329	8	19	36	4	3	113	0	0	0	0	0	0	0	17	0	1	0	5	0	46	0	0	5	24	0	5	5	0	1	3	0	32	1	0	0	0	0	0	0	0	"S_S14"
"G.BacV5.2"	1	4	20	107	8	4	26	39	4	7	4	7	11	58	2	3	0	11	134	0	11	10	34	21	1	6	14	9	4	22	5	7	3	6	17	0	20	7	61	7	10	4	40	3	582	396	13	9	314	13	70	6	9	0	3	4	0	2	0	16	3	19	6	14	41	15	25	2	37	3	6	3	31	20	2	245	8	24	65	0	1	91	44	74	22	68	1	0	86	2	21	6	285	19	5	12	22	11	129	25	7	62	7	7	400	3	38	217	7	7	891	9	3	33	3	9	17	8	13	22	17	12	3	14	23	40	18	21	34	30	137	12	41	124	16	11	3	34	20	14	14	7	13	6	41	1	5	11	499	3	28	9	4	0	9	15	27	10	25	13	9	9	47	6	12	71	6	3	3	2	11	19	160	37	8	32	10	614	0	9	0	3	22	64	6	1	0	0	9	6	4	26	3	23	19	102	1	359	22	7	36	11	4	9	18	20	7	14	13	23	20	9	9	7	0	14	7	13	"F_2"
"H.BacV5.7"	0	0	0	0	0	0	12	0	0	0	0	3	47	1	0	0	0	0	2310	12	25	16	22	12	0	3	8	0	0	1	0	0	0	1	0	0	0	0	46	1	0	0	0	1	2365	18	0	0	42	0	10	0	0	0	2	0	0	3	0	0	0	0	0	368	1	14	215	9	0	0	0	0	11	0	0	29	0	0	0	0	0	72	25	279	35	2	0	350	25	1	18	4	67	0	0	0	0	0	0	0	1	0	0	0	3	0	0	14	0	0	214	0	0	1	0	0	0	0	0	0	0	0	0	65	0	8	0	0	0	317	0	1	13	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	103	5	16	0	1	0	8	0	0	0	44	1	9	1059	10	0	1	351	0	0	0	0	2	1	2	9	0	5	3	1145	2	0	0	0	0	24	0	0	6	2	1	0	0	0	0	1	2	80	0	34	0	0	0	11	0	30	0	0	2	0	0	0	0	0	0	0	0	0	0	0	"S_S1"
"F.BacV5.8"	2	0	1	0	1	1	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	6	1	2	9	1	0	2	0	1	0	1	1	1	6	156	0	0	2	784	0	0	0	0	1709	7	1	0	4	0	2	4	0	9	0	0	6	1162	8	0	0	1	0	503	2	0	0	0	2	2	2	0	0	0	0	7	0	0	0	20	9	9	3	4	5	0	0	23	136	4	0	1	34	0	2	0	5	0	5	0	1	0	0	0	77	9	12	167	0	1	201	2	3	5	1	2	1	1	0	3	0	0	0	31	2	0	0	8	0	1022	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	4	0	0	253	0	0	1	0	4	1	1	0	0	568	2	2	1267	5	1	0	10	0	0	0	0	35	9	8	21	6	45	68	951	0	0	0	1	5	0	2	1	77	30	1	4	0	35	0	192	20	31	5	818	0	0	0	20	0	10	2	0	0	0	0	0	3	0	3	0	0	0	1	0	"10_S8"
"A.BacV5.18"	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	45	0	0	0	0	0	1	6	0	0	0	0	0	0	0	3	31	5	137	0	0	0	128	0	0	2	0	5265	3	1	0	0	0	0	1	0	36	1	0	8	3579	36	0	0	0	0	291	2	0	0	0	0	1	7	16	0	1	0	1	0	0	0	7	3	1	0	0	0	0	0	55	70	2	0	0	7	0	0	0	2	1	2	0	0	0	0	0	2	0	0	11	0	0	14	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	594	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	61	0	0	0	1	9	0	0	0	0	102	0	0	725	5	0	3	5	0	1	1	0	168	5	5	4	1	50	91	528	0	0	0	3	2	0	0	1	48	113	4	0	1	0	0	0	0	2	0	54	0	0	0	51	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	"10_S6"
